comment,label,repeat words,comment after merge(close)?,same with last comment?,author reply interval(project),author reply interval(PR),declare reviewer's comment?
Tests still need to be written. @dhalperi @reuvenlax you two are likely interested.,0,0,0,0,14,1,0
"Merged. (FYI, I look at tests before merging, so pinging for a merge after tests complete is more likely to get acted on quickly.)",0,0,0,0,9,1,1
@ssilvert The UI with added helpText for each credentialType looks nice to me. Thanks for adding it!,0,0,0,0,5,1,1
@guozhangwang @hachikuji thanks for the reviews and helping in getting this committed. If there is no JIRA already I can create the JIRA and PR for fixing the issues mentioned by @guozhangwang . Let me know. Thanks!,0,4,0,0,22,4,0
I have also added the `ValueProvider` alternative,0,0,0,0,17,3,0
Writing a test for this is proving to be difficult. `connect` always returns `false` while connecting to `EchoServer` on localhost on my mac.,0,0,0,0,1,5,0
"Hi @tillrohrmann,I don't think this PR change the retries strategy, does it?",0,0,0,0,16,2,0
"If we didn't remove these parameters from config file, I suggest keep them here for examples.",0,0,0,0,14,1,0
"Passing in the current listener seems a little weird. I wonder if we're trying a little too hard to reuse the subscribeTopics method in SubscriptionState. If instead we had a method like SubscriptionState.subscribeMatchingTopic (or something like that), then we wouldn't need the flag and we wouldn't need to pass a listener. You could change this line to this:",0,1,0,1,4,1,0
"Nice catch!I wonder, if you remove the modifier completely, does it make the field package private and still remove the warning?",0,0,0,0,3,3,0
"In other words, we need a 3-valued state to differentiate an explicit request for ""unpinness"" and ""inherit from parent"". This could also be done via a flag like `pinned: Boolean = (true, false, null)`, but relying on nullable boxed primitives seemed less ideal.",0,0,0,0,13,2,0
"I'd suggest moving the null-check into the analyze method. Then each analyze method fully-encapsulates the analysis of a specific method (is it optional, what parameters are supported, etc.)",0,1,0,1,7,3,0
"Ok, the latest changes make `gcpTempLocation` default validation consistent with `stagingLocation` default validation, and remove the null-value fallback along the way. ",0,0,0,0,7,3,1
@jackyLqq There is a conflict between the two branches.,0,3,0,0,5,2,0
Could we move the fetchable Set in SubscriptionState to TopicPartitionState? More specifically:,0,1,0,0,15,2,0
"I played with `silaev/mongodb-replica-set` and although it seems exactly like what we want, I couldn't get it to work reliably",0,1,0,0,13,3,0
Sounds good.  I posted a message to the mailing list.,0,1,0,0,1,3,1
something more readable?,0,0,0,0,11,5,0
"I'll make a note to look into this in the future, when things are a little less hectic.",0,1,0,0,6,3,0
Does not make a difference since it's guarded but IntelliJ warns because the logging statement does not use a parameterized debug message with `{}`.,0,4,0,0,20,3,0
Thank you. I'll merge it.,0,0,0,0,21,3,0
"I agree, this should have been there. Added https://issues.redhat.com/browse/KEYCLOAK-16872",0,1,0,0,19,3,0
"So I think I'm going to need this for #467 (MP-CP), even though it's not clear if it's a good idea to have a vert.x worker thread pool separate from a quarkus worker thread pool. But one thing for sure is I don't want to create a third pool just for MP-CP.",0,0,0,0,1,1,0
add new line,0,2,0,0,24,3,0
An test of JdbcIO on an independent Postgres instance.,0,4,0,0,24,3,0
"Generally this is not a user-facing feature, but an internal feature that was meant to help with Source API support.",0,1,0,0,12,5,0
@tsegismont FYI,0,3,0,0,5,2,0
"please add new commits to this PR and do not squash and force push the branch. Otherwise, all previous code comments are gone and not longer available.",0,0,0,1,3,1,0
@emmanuelbernard @FroMage I updated the documentation part as requested.,0,0,0,0,8,1,0
R: @chamikaramj ,0,0,0,0,23,1,0
how about also checking `brokerDataMap` and check if broker2 is present or not?,0,1,0,0,21,4,0
how about throwing an IOException here? ,0,1,0,0,10,3,0
"I see. Good point. But is it a good user behavior? E.g. what if a user really want to change all files to be unpin and do it from ""/"" ?",0,0,0,0,13,1,0
"It seems as though the purpose of RootTransformEvaluatorFactory and TransformEvaluatorFactory are completely different, for example with the Flatten PTransform with 0 pcollection inputs, you would want it to be just a RootTransformEvaluatorFactory and not a regular TransformEvaluatorFactory",0,0,0,1,16,4,0
"Can't you just use JUnit's assertEquals, i.e. `Assert.assertEquals(fullTuple2.f0, swappedTuple2.f1)`?",0,3,0,0,15,2,0
but static field referred better than literal string.,0,4,0,0,24,2,0
"what if by the time phaseTwo runs, expected message with latestKey has been deleted and reader will never be able to read?",0,0,0,0,16,3,1
"@SinghAsDev - ApiVersion and ApiVersions is a tiny change and no one is using the API yet (since we didn't commit yet...), I see no problems. Whatever you see fit is fine by me :)",0,4,0,0,23,1,0
Makes sense. I will rename this to `UnsupportedVersionException`.,0,0,0,0,1,5,0
R: @bjchambers / @lukecwik / @tgroh or any other committer that I don't usually bother 😉 ,0,0,0,0,4,2,0
Thanks for the PR. I think you meant to say `ReceiveBufferSize` in the title.,0,0,0,0,18,1,0
"Thank you, welcome be a contributor.",0,0,0,0,8,4,0
"This will throw an exception in case that user doesn't have password? Also in case he doesn't have password and has 1 OTP credential, it can happen that ""models.get(0)"" won't return the password.",0,0,0,0,20,2,0
"Thanks. What's ""fix pom.xml"" commit about?",0,0,0,0,13,5,0
@guozhangwang Updated.,0,2,0,0,11,1,0
"Do we need both of them? It seems JavaConverters is newer than JavaConversions in Scala that makes conversions explicit, and is the recommended way of doing so. But we do use JavaConversions elsewhere. Perhaps we can do a cleanup JIRA in the future to clean them up but here just use one of them?",0,4,0,0,12,2,0
"One of these parameters is no longer there -- I was only going to remove it, then I realized this part of the comment serves no purpose, since none of the parameters are annotated. If they do, I can definitely add it back.",0,0,0,0,8,1,0
actually I think it should be: insecure-requests=allow|redirect|disabled,0,0,0,0,8,2,1
- Direct runner (doesn't care about batch vs streaming),0,0,0,0,9,5,1
"@cescoffier Never mind the above questions, thanks for the advice about it on Zulip :-), I'll take care about improving the PR. ",0,0,0,1,6,2,0
"The type is something that could be added to LongState, etc., and seems like a generally useful thing to do anyway. Once you do that, you can get rid of these extra state classes, factories, etc.",0,0,0,0,18,2,0
unnecessary.a local static field is better.,0,1,0,1,8,1,0
fixed,0,0,0,0,5,3,0
Can you try and see if you can reproduce it?,0,4,0,0,5,5,0
":+1: Looks good, will verify broker bits with librdkafka ",0,2,0,0,4,3,0
Thanks @eljefe6a. I do see RemoveDuplicateTimestamps as well. Best to have that changed as well.,0,0,0,0,2,1,0
"TODO: This is not an secure authentication strategy. At minimum, this should explicitly be noted as not a best practice.",0,1,0,0,7,5,0
@merlimat Why would multiple threads try to initialize a single instance of `ServiceConfiguration`? Is the service configuration stored somewhere as `static`?,0,3,0,0,13,3,0
Can you just check size instead of `.count(x => x!= null))`,0,1,0,0,14,5,0
"Thanks for the summary, Till :)",0,0,0,1,9,2,0
"I think we also want to discourage people from using it, since we are deprecating it right now. ",0,0,0,0,1,3,1
```,0,0,0,0,2,2,1
"Hi @andralungu, @shghatge,I'm a bit confused by your changes.. Why did you add a new `removeVertices` API method for DataSet?I thought we had agreed that we'll have add/remove\* methods for Lists and union/difference for DataSets, no?",0,3,0,0,18,4,0
"Is it necessary to declare as global filed, How about change it to local variable?",0,1,0,0,17,2,1
Missing the test scope ?,0,0,0,0,20,2,0
`private` or `@VisibleForTesting`,0,3,0,0,6,4,0
You might also be interested in my weekly report:,0,1,0,0,14,4,0
"This is the existing naming. If it's really important to you, I'm happy doing it in a separate PR, but it's not really relevant to this one.",0,0,0,0,18,4,0
How's that related? Did this really pass the automated formatter?,0,1,0,0,20,3,0
We should coordinate this with @becketqin. He has a pull request that validates the versions for all other requests and it adds `UnsupportedVersionException`: https://github.com/apache/kafka/pull/200,0,1,0,0,9,2,0
"@cescoffier Hi Clement, this is something I'm confused about. It works fine on my laptop and it is the code which has to run in the blocking mode (it is run in the blocking executor). Do you have some recommendation how to fix it ?",0,1,0,0,4,5,0
Nit: we don't need `()` in some cases on this line.,0,1,0,0,18,2,0
Refer to this link for build results: https://amplab.cs.berkeley.edu/jenkins/job/Tachyon-Pull-Request-Builder/1826/,0,0,0,0,1,1,0
I investigated why this is happening.,0,1,0,0,14,3,1
"@hachikuji so basically have new_consumer as parameter, since we are going to always run this test with ""PLAINTEXT"" security protocol?",0,4,0,0,1,2,0
@ijuma Yeah you are right. Fixed now.,0,2,0,0,1,4,0
users -> result,0,0,0,0,2,1,0
`asInstanceOf` is considered an unsafe operation in Scala and it should be avoided as much as possible.,0,1,0,0,8,1,0
Yeah it's what we're using for all timeout things.,0,1,0,0,14,5,0
The version should be 0.10.1.0.,0,1,0,0,7,4,0
Now we have to wait until somebody finds time to test the pull request.,0,0,0,0,13,3,0
Merged build started. ,0,0,0,0,6,4,0
with label,0,0,0,0,18,1,0
"@gsmet > @kameshsampath I think you missed the hidden ones (there are 9 of them hidden by GH). At least they are not marked as outdated.Not sure how I missed them , sorry about. They are all addressed in the latest commit.",0,4,0,0,14,5,0
"Yes, the default value of the table level will make it more troublesome for users to use. 😀",0,1,0,0,16,3,0
No. Check the new consumer config of Kafka 0.9:http://kafka.apache.org/documentation.html#newconsumerconfigs,0,1,0,0,9,1,0
set default as 1. But this is minor.,0,1,0,0,24,2,0
Please keep the original code format.,0,1,0,0,24,1,0
"The default value for `JobConf.getCombinerClass()` is `null` (this is not the case with Mappers and Reducers that have their respective identity functions as default). Even if the user wants the combiner to be the same as the reducer he has to explicitly say so. Otherwise, the job runs with no combine phase. Do you suggest that the combiner class should be the reducer class by default and that we should never skip reducing?",0,1,0,0,5,2,0
"I would rename this to something that includes the word ""filter""",0,0,0,0,6,2,0
Refer to this link for build results: https://amplab.cs.berkeley.edu/jenkins/job/Tachyon-Pull-Request-Builder/1833/,0,0,0,0,24,5,0
Corrected in https://github.com/yahoo/pulsar/pull/21/commits/a6df34360fbf45c3948ae83cea8c754e399e0368,0,3,0,0,7,4,0
Nit: This file doesn't need to be touched,0,1,0,0,10,1,0
"now it's fixed, and I've added a test to ensure it's working.",0,0,0,0,13,4,0
sorry for the long wait on this PR. Could you please rebase on top of the current master and also get rid of the merge commits in the process?,0,0,0,0,3,2,0
@cheese8 Can a meaningful name be used instead of value?,0,3,0,0,22,1,1
Running the client system tests here: https://jenkins.confluent.io/job/system-test-kafka-branch-builder-2/,0,1,0,1,19,4,0
Can you quickly explain how this works?,0,2,0,0,2,5,0
"@SinghAsDev, looks good apart from one minor comment.",0,4,0,0,10,2,0
"Oh good to know. I will do that. When I ran the test, it did produce about 5000 message. But agree it is better to make it more predictable.",0,1,0,0,23,4,0
I added a unit test inside FetcherTest.  There is also a ducktape test coming after the CompatibilityTest JIRA is merged.,0,0,0,0,16,2,0
"pollSelectionKeys(immediatelyConnectedKeys, key -> true);`",0,0,0,0,9,2,0
I don't see how to do that without removing `static` from `SIGNATURE`.,0,1,0,0,8,5,0
"If thats the case, we could also build our releases and nightlies with **openjdk 6**",0,1,0,0,22,1,0
"That looks great!@geoand, should we close this pull request and wait for smallrye-config to be released? ",0,0,0,0,4,5,1
"As far as I understand, you expect a directed graph as input, but then you convert it to an undirected one and compute the clustering coefficient of the undirected graph, right?",0,4,0,0,5,5,0
SingleLongMinMaxState,0,1,0,0,17,1,0
At the moment I still am unable to see the preview. I'll work on it.,0,1,0,0,8,2,0
All automated tests passed.,0,0,0,0,10,1,0
"It seems unnecessary to generalize here currently. I'd like to avoid structuring the code so that all parameters to all methods can only be exposed via ExtraContextFactory methods, because this might not be the case in the future (and it probably won't be, for some of the SplittableDoFn methods).",0,1,0,0,7,2,0
https://github.com/merlimat/pulsar/commits/advertisedAddress,0,0,0,0,18,5,0
"Yep, I'll fix it (I'm still a bit of scala newb).",0,0,0,0,16,3,0
Should this be `getOrCreateSignature(...)`?,0,1,0,0,22,4,0
removed,0,0,0,0,16,5,0
"True, this should be `createBarrier(2, 0)`",0,0,0,0,12,4,0
"If valid, append original value (possibly parsed into an int)else, append None",0,1,0,0,20,2,0
Can you add deliberate remarks about which commit are being reverted / cherry-picked in the new commit message?,0,3,0,0,18,4,0
I agree with @uce's argumentation regarding the name.,0,0,0,0,1,2,0
"FWIW, I built it locally and run the tests like you mention and didn't see any failures.",0,3,0,0,24,4,0
Doubt this passes the automated formatter…,0,0,0,0,18,3,0
done,0,0,0,0,24,3,0
"I'm very much not a fan of the Reflective override factories, and in fact would prefer to be moving away from them. Is the burden really too high to add two separate factories that do something obvious?",0,0,0,0,20,3,0
Will be merging this PR.,0,0,0,0,4,4,0
"I updated the PR with the exponential backoff registration strategy. On the way, I fixed the flakey RecoveryIT case.",0,0,0,0,21,2,0
@pedroigor done,0,3,0,0,9,2,0
Fixed Number of Shards to match the existing label?,0,0,0,0,4,1,0
I think Robert had already volunteered as a reviewer :).,0,0,0,0,21,1,0
It is tested in both mongodb-client extension and mongodb-panache.It surprised me a lot that this causes NPE.,0,1,0,0,19,1,0
Done.,0,0,0,0,14,2,0
"@gwenshap Sure, will do shortly.",0,3,0,1,24,3,0
"```suggestionWait for some time to have Nexus initialized and run. You can watch the status via `kubectl get pods -w`, use kbd:[Ctrl+c] to terminate the watch.```",0,3,0,0,1,3,0
Whats this doing?,0,1,0,1,3,5,0
Does this test require Hadoop 2.3.0?,0,3,0,0,23,2,0
"My comment about using LongState instead of LongMaxMinState seems to have been lost, and I can't find Chris' reply now, but I wanted to point out I think the method handle shouldn't be stored inside the state object. It should be bound into the method handle for the input function at specialization time, instead. ",0,0,0,0,21,1,0
"Yes it will. That is why I am not sure we need to use ""EnableFeature with restart"" also for UPLOAD_SCRIPTS feature, since it is not necessary to restart the server for enabling it. Maybe we can have option restartContainer in annotation (defaulting to true) and just disable it for UPLOAD_FEATURE feature.  ",0,1,0,0,20,3,0
"I think the security gain from restricting this API is a little dubious, but I can understand the desire to limit information leakage. Anyway, perhaps there's no need to rehash the argument since the KIP already says this?",0,1,0,0,20,3,0
Shouldn't this be `API_VERSIONS`?,0,1,0,0,5,4,0
"@ijuma looks like build failed during checkstyle, I did build jars before pushing that apparently does not execute checkstyle. Pushing the fix now.",0,4,0,0,24,4,0
Typo: `removable`,0,0,0,0,4,3,0
I'll close this since we haven't had issues with Mongo in CI lately,0,0,0,0,21,3,0
To a final class,0,1,0,0,3,5,0
R: @kennknowles ,0,0,0,0,21,4,0
"I would prefer if you opened a second PR once this is merged. The issues are not really related to each other; the 2nd commit was simply made based on the 1st commit. We would end up having two separate discussions in 1 PR, which i think is a bad idea.",0,1,0,0,24,2,0
```suggestionNexus is used for caching Maven artifacts so that Apache Maven builds are faster.```,0,2,0,0,21,1,0
"Well, I wanted to get some feedback/discussion on the retry strategy before merging this PR. At the moment the strategy is a limited number of retries with a constant pause in between.  ",0,1,0,0,17,2,0
With a warning perhaps?,0,0,0,0,16,4,0
Will do.,0,0,0,0,12,2,0
"Is None used to set the default quota? If so, should we handle that specially in configure_quota?",0,0,0,0,14,4,0
@yupeng9 check function added to LineageDoesNotExistException in the latest upload. Let me know about your comments. Thanks!,0,1,0,0,15,2,0
Tests looks interesting! Java 8 lambdas is not tested. I'll test it in the next update.,0,2,0,0,18,2,0
and also should we document on the method that return `List<MLDataFormats.MessageRange>` should be recycled by client once client is done with it.,0,4,0,0,3,2,0
This PR should be ready now.,0,1,0,0,21,1,0
+1 to merge,0,0,0,0,16,4,0
"Tests pass locally, but I still have to write a test that fails before these changes.",0,1,0,0,23,2,0
You do `mapOut.groupBy(hadoopGrouper).reduceGroup(combiner).reduceGroup(reducer)`.,0,0,0,0,15,5,0
"That is fine, no worries!",0,0,0,0,17,5,0
"@dhalperi ,  let me start a topic on it. Thank you. :)",0,3,0,0,19,4,0
"This is not very user-friendly but it's a result of the current integration design where resources are beans. We had a similar issue with filters: https://github.com/quarkusio/quarkus/issues/3369#issuecomment-520319715. I think we could try to support `InjectionTarget` in ArC but it wouldn't be trivial. So I'm wondering if we should restrict the bean types of all JAX-RS resources, ie. add `@Typed(SuperPingResource.class)` automatically to all resources. @stuartwdouglas @geoand @gsmet @patriot1burke @manovotn WDYT?",0,1,0,0,20,3,0
"Doubt anyone will object, but it's probably good to post a comment to the KIP discussion. I'd be ok merging this as suggested (we can always revise later if anyone has a concern).",0,0,0,0,2,5,0
Does this `if / else` perhaps need to be inverted?,0,2,0,0,11,4,0
"Just a question, I've always seen classes which extends `Exception` or a subclass named with suffix ""Exception"". I'm not sure if it's a convention or a habit. Anyway I wanted to hear your opinion.",0,0,0,0,16,1,0
Do we haven any tests for the expected behavior here? How do clients behave if they receive this?,0,0,0,0,11,1,0
Merged build finished.,0,0,0,0,11,3,0
Addressed comments. @StephanEwen ,0,4,0,0,5,4,0
Good catch. This method should have been removed.,0,0,0,0,20,1,0
"The ML protobuf classes are not generated with the custom protobuf, so they're not recyclable. I'd leave that for later, once we have completely phased out the text format.",0,0,0,0,18,3,0
Doesn't `.include` do L122 already?,0,0,0,0,1,1,0
You probably want to have this just before the call to quota (and not in the foreach),0,0,0,1,24,3,1
 Merged build triggered. ,0,0,0,0,19,3,0
So would it be safe to assume that if the slots have not been set ( = -1) this is obviously an IDE run and slots should be equal to the max DOP ?,0,0,0,0,14,5,0
"As a side note, the Beam SDK uses the term Registrar and is a more common usage for what this does but in this case this should follow the naming convention that Kryo/Spark uses (the less common Registrator).",0,1,0,0,21,2,0
Thank you.,0,0,0,0,24,4,0
R: @robertwb ,0,0,0,0,24,3,0
I think this comment is not quite correct. Something more appropriate is ,0,0,0,0,24,4,0
"It might be beneficial to add a javadoc for this method here as it's not overridden from `MapStorage` so when using it in the code there is no java-doc info what the method actually does, so it has to be seen from the code itself, while other methods has their description from `MapStorage` interface, wdyt?",0,0,0,0,17,2,0
R: @amitsela @jasonkuster,0,0,0,0,9,5,1
"> hi @strongduanmu, Can you help review it?",0,2,0,0,3,5,1
"So what you can do is use the input function as both the input, and the intermediate input function, and then remove the combine function.",0,0,0,0,6,2,0
"> Actually need to discuss this a bit. Right now, tooltips are sent for each credential type. Should they also appear for each credential category?",0,3,0,0,13,5,0
![image](https://user-images.githubusercontent.com/46469719/75450959-aec9e200-59aa-11ea-982d-20e2dc5e414a.png),0,0,0,0,15,2,0
Fixed.,0,0,0,0,19,3,0
default to `hostname`,0,3,0,0,24,1,0
Done,0,0,0,0,7,2,0
"We need `{}` in `${group.protocolType}`, otherwise the behaviour is wrong. I would prefer if these string interpolation changes weren't included unless it's really obvious that it's fine as the compiler doesn't help us. For example, `$groupId` is obviously fine. But if there are quotes around the variable and so on, then I think it's fine to keep the braces.",0,0,0,0,9,1,0
"It just now occurs to me I could have made this take `DoFn<InputT, OutputT>` as well, which would have let us reuse `DoFnInvoker` instances (rather than just constructors). Something we could consider in a followup.",0,1,0,0,9,4,0
Can you remove inline comment? Only javadoc comment permitted.,0,3,0,0,23,5,0
`inventoryDumperConfiguration` could be `inventoryDumperConfig` or `dumperConfig`,0,1,0,0,7,2,0
"Hadoop is also not automatically refreshing the page. If a task manager has not reported in for 30 seconds, the user would still notice.",0,2,0,0,11,4,0
StartBundle/FinishBundle (when they're present) are just versions of this that don't have any MethodDescriptions in their mapping.,0,0,0,1,11,4,0
Will merge this,0,0,0,0,20,3,0
Maybe worth changing the default here? https://github.com/yahoo/pulsar/blob/master/conf/broker.conf#L78,0,0,0,0,17,2,1
"Same answer, you need to give access to the Vert.x classes as they are not resolved by transitivity anymore. ",0,0,0,0,18,2,1
"If now it has one, maybe using Testcontainers is easier ?",0,0,0,0,5,2,0
Missing `.` at the end,0,0,0,0,22,1,0
"Jie, this is a very great idea! I am trying to consolidate using reflection method, so we can include more filesystems. This takes a bigger refactor though.",0,0,0,0,15,4,0
"Jenkins, test this please.",0,0,0,0,1,5,0
Thanks for the ping. We had an offline conversation with @StephanEwen and decided that the initial approach is sufficient. Cleaning up the commit asap.,0,0,0,0,15,1,0
"For reference, I noticed that yammer metrics uses a ConcurrentHashMap as well for storing all metrics. I think that is a strong point of reference.",0,0,0,0,7,5,0
"So you could:a) In VerifiableProducer, specify for example 1000 messages per producerb) something like `run_produce_consume_validate(lambda _: wait_until(self.producer.num_acked >= 4000, timeout_sec=30, err_message))`",0,1,0,0,10,4,0
So travis gave its okay to your pull request.,0,0,0,0,21,4,0
Actually nope.,0,0,0,0,12,5,0
"+1, will merge in the next batch!",0,4,0,0,15,2,0
Minus @rmetzger's comment this looks good to merge! Thanks for fixing this @tzulitai!,0,0,0,0,10,3,1
is there any reason changing it?,0,1,0,0,4,5,1
"@stuartwdouglas My understanding is that a user expects an exception when more than one mechanism is present. It makes me think if the user-driven composition is the way to go - otherwise some users will be happy (form+basic case), and some - not ",0,0,0,1,23,3,0
4) add a fetchablePartitions() in SubscriptionState that loop over the assignedPartition map and add to the returned set if fetchable is true.,0,2,0,0,19,4,0
"Ok, let's move forward with the proposal to throw on invalid default value. The current PR represents this behavior. I've rebased ontop of master to bring in the latest changes and kick off a new test pass.",0,0,0,0,20,3,0
Ping @saandrews @rdhabalia ,0,0,0,1,21,2,0
"I think you want ""val"" and not ""def"" here, since this is not a method.",0,1,0,0,5,3,0
@hachikuji and @granders I addressed your comments. Now compression test tests both new and old consumer. Compression test runs until each producer produces at least 1000 messages.,0,4,0,0,1,5,0
I will merge this...,0,0,0,0,15,4,0
"Moreover, the reduce is finally called on the fully reduced data as an AllReduce, which puts all data into a single group which will cause wrong results.",0,0,0,0,6,3,0
"It now has `double`, `long`, and `Slice`. Adding `boolean` should be trivial, but `max` for `boolean` is currently an alias of `bool_or`.",0,1,0,0,23,5,0
"Jenkins, add to whitelist.",0,0,0,1,6,2,0
"True, but it would be more consistent, no?",0,0,0,0,6,5,0
"Cleaned this up. include does indeed do that, but also doesn't permit null (and getSharding can of course be null)",0,3,0,0,6,4,0
"Same comment, do any of these need to be final?",0,0,0,0,20,5,0
why remove the initialization for fid?,0,0,0,0,12,3,0
"As I see it, there are two ways to go here:1. A provided context is responsible to provide the proper configurations for `spark.kryo.registrator` and `spark.serializer` (and anything else the runner may require in the future).2. The runner forces an override of the mentioned configurations for any provided context - safer for runner use, but changes user defined context quietly.I prefer an explicit failure over a pipeline that executes different then the author intended (currently, if missing those two configurations the pipeline will fail anyway..).Thoughts ?",0,4,0,0,14,5,0
spacing between ){,0,0,0,0,15,4,0
not important,0,0,0,1,13,5,0
The default is a little bit odd: `statusFilePath=/usr/local/apache/htdocs`,0,0,0,0,22,4,0
Shouldn't it be `System.lineTerminator()` ?,0,1,0,0,21,1,0
Agreed. Created KAFKA-2506.,0,0,0,0,12,1,0
"Hum, I don't have this issue.",0,1,0,0,7,3,0
I'm OK to proceed with your suggestions. Except for #2.,0,0,0,0,17,1,0
The CI fail was kind of expected as right now we have both Vert.x 3.80. (quarkus-http) and Vert.x 3.8.1. Working on it.,0,1,0,0,1,1,1
usually `@link JdbcIO` these. ,0,0,0,0,2,2,0
"@dajac Regarding `SyncProducer`, not as part of the security work since there is no plan to support SSL/TLS for the Scala consumers and producers.",0,4,0,0,14,3,0
"> For the future, I wonder if we may have 2 categories instead of 3. Instead of ""Password, ""Two-Factor Authentication"" and ""Passwordless"", we may have just something like ""1st factor authentication"" and ""Two-factor authentication"" . From the built-in credentials, the ""Password"" and ""WebAuthn Passwordless"" will be 1st-factor Category. And ""OTP"" and ""WebAuthn"" will be two-factor category. We may probably wait for the feedback from users and customers whether to do something like this...",0,4,0,0,10,2,0
Cheers!,0,0,0,0,6,3,0
"At one point, I tried to move the refresh commit state into TopicPartitionState, but it started to get ugly, so I brought back the single variable and forgot about the comment.",0,0,0,1,17,5,0
Noticed during backporting: This should only happen if no newer pending checkpoint exists.,0,0,0,0,18,3,1
"Implementing 1. 2 could have problems where you end up having an error while reading through already compacted data, so you would end up losing data because the reader can't tell the difference between compacted data and non-compacted data.",0,0,0,0,22,2,0
"Even better yet, we might be able to get rid of that stuff by using `task.failExternally()` in all places that previously made these async checks necessary. (The file read operator already uses that, btw) ",0,1,0,0,18,1,0
@pedroigor Job is scheduled,0,4,0,0,8,5,0
"Yes. Since it this note is there though, I believe there was a race condition between some of my commits and the review",0,0,0,0,9,5,0
Just got back from vacation. Will resume this week or after I return from London (Mar 12).,0,0,0,1,22,4,0
Same.,0,0,0,0,2,2,0
Just out of curiosity: Can this actually ever happen without `TriggerCheckpoint` messages getting lost or overtaking a `TriggerCheckpoint` message (which should not be possible)?,0,0,0,0,19,2,0
you don't need the curly brackets here,0,1,0,0,2,3,0
What is the purpose of adding these variables?,0,0,0,0,20,5,0
jason@google.com? I don't think that's your email :p,0,0,0,0,1,3,0
"For rebasing, I will squash it anyway when merging. I don't expect particular conflicts with current master. ",0,3,0,0,14,1,0
DoFnInvokers = A factory for generating a DoFnInvoker from a DoFnSignature,0,2,0,0,7,3,0
"There are 2 tests, one that closes the ledger/factory (simulating graceful shutdown) and  the other that directly opens a new ML factory, simulating a recovery after a crash.",0,0,0,0,22,2,0
Why isn't this private? It should probably be private or `@VisibleForTesting`,0,1,0,0,2,1,0
This construct is quite often repeating in each provider. Should we create some auxiliary function for it? Or maybe even create a function like `createCriteriaBuilder(RealmModel)`? The corresponding `SearchableFields` field could be hardcoded withing storage since it is always the same for each storage.  ,0,1,0,0,7,1,0
"Even if the bom says that the Vert.x version is 3.8.1, if a module depends on quarkus-http, and does not explicitly depends on vert.x, it will resolve to 3.8.0. ",0,1,0,0,22,2,0
"When creating a new file, why not just explicitly inherit its parent's state (PIN/UNPIN)? In this case, when a client looks up a value for a file, it does not require recursively trace back to its ancestors. ",0,1,0,0,11,2,0
"To be consistent with KAFKA-2388, this should probably be:",0,1,0,0,16,3,0
Are there any reasons to not allow for both configuration options `quarkus.http.redirect-insecure-requests` and `quarkus.http.port-enabled`? As of commit 190b7e8e5db8648ec4afcb026a38e3126cc53c82 only redirections are possible.,0,0,0,0,8,1,0
Maybe keep the current strategy (n times constant pause c) and then start backing off?,0,1,0,0,19,5,0
Same here.,0,0,0,0,4,2,0
@martint I don't follow your reasoning. I agree that method handle shouldn't be stored inside the object. This is a workaround. They can be removed if `AggregationMetadata` and relevant classes are revamped to take `MethodHandle`s instead of `Method`s. I don't understand how adding `type` to the state classes (but not `MethodHandle`) changes the situation.,0,5,0,0,18,2,0
R: chamikaramj,0,0,0,0,6,1,0
+1 on option 1 also.,0,0,0,0,8,1,0
Merged in 856d5569c62c9a74be24750444c589ee11c4ceb0,0,0,0,0,17,3,0
"we can't remove `'` symbol, the target sql is like `xxx in ('admin', 'sys', 'other')`, if you remove `'` the sql will grammar error.",0,0,0,1,10,1,0
Are these correct?,0,0,0,1,6,3,0
added,0,0,0,0,7,1,0
Is the UI changed? It shows pin list previously.,0,0,0,0,8,3,0
input or outputs?,0,0,0,0,23,3,0
"Actually, can you please file a JIRA for this and remove this TODO.",0,1,0,0,24,3,1
'AdditionalAnswers' can not be used  'static import' to import.,0,2,0,0,3,3,1
"Makes sense, in fact do you think it makes sense to have a follow up JIRA to do this exercise for all exceptions? One can argue that it is a public class in common, but I do not think it should be too big of a deal. If you agree, I can file a follow up JIRA and take on that in some time.",0,0,0,0,14,5,0
I would suggest to just move this tuple to the `testSwapValues()` method since you only use it there. I also think the name is rather verbose.,0,0,0,0,1,4,0
One more unnecessary space after `parallel`,0,0,0,0,13,2,1
This will require pretty big change/rewrite to ProduceConsumeValidateTest. It currently assumes one VerifiableProducer. Let me just write a comment above this line.,0,0,0,0,6,2,0
"According to my understanding, this configuration is used in the GlusterVolume initialization phase to create a path for MR control files. This should be finished in the GlusterFS server side. But here, GlusterFS works as the Tachyon under file system. It only requires some client configurations. If there is some MR job running on top of  Tachyon, those control files should be created over the Tachyon. and Tachyon will create a checkpoint file (named as fid) under the data folder on glusterfs. If anything misunderstanding, please correct me. ",0,0,0,0,14,3,0
"Thanks for clarifying that it has been already discussed, my intention was to follow the suggestion of marking methods side effect free with this syntax. I am dropping the change then.",0,0,0,0,23,5,0
Sorry I checked it and DeployedScriptPolicyTest is running because it doesn't need SCRIPTS feature enabled. However DeployedScriptAuthenticatorTest is not running anywhere.,0,0,0,0,22,1,0
"Yes, we should ",0,0,0,0,20,3,0
@ijuma I believe all review comments are addressed now. Mind taking a look again?,0,2,0,0,4,3,0
